Symbol,Company Name,Industry,Market Cap
AEAE,AltEnergy Acquisition,Shell Companies,296412500
AEE,Ameren,Utilities - Regulated Electric,22090668407
AEG,Aegon,Insurance - Diversified,9292271026
AEHL,Antelope Enterprise Holdings,Building Products & Equipment,25369707
AEHR,Aehr Test Systems,Semiconductor Equipment & Materials,934027072
AEI,Alset EHome International,Real Estate - Development,13999684
AEIS,Advanced Energy Industries,Electrical Equipment & Parts,3482001349
AEL,American Equity Investment Life Holding Company,Insurance - Life,3020225220
AEM,Agnico Eagle Mines,Gold,26711242476
AEMD,Aethlon Medical,Medical Devices,7177906
AENZ,Aenza,Engineering & Construction,179990500
AEO,American Eagle Outfitters,Apparel Retail,2399690977
AEP,American Electric Power Company,Utilities - Regulated Electric,44560309652
AER,AerCap Holdings,Rental & Leasing Services,13968949280
AES,The AES Corporation,Utilities - Diversified,13928882160
AESI,Atlas Energy Solutions,Oil & Gas Equipment & Services,1010376640
AEVA,Aeva Technologies,Auto Parts,213772198
AEY,ADDvantage Technologies Group,Electronics & Computer Distribution,8823058
AEYE,AudioEye,Software - Application,72362856
AEZS,Aeterna Zentaris,Biotechnology,14373890
AFAR,Aura FAT Projects Acquisition,Shell Companies,153304200
AFBI,Affinity Bancshares,Banks - Regional,80237023
AFCG,AFC Gamma,REIT - Specialty,232181275
AFG,American Financial Group,Insurance - Property & Casualty,9980504980
AFIB,Acutus Medical,Medical Devices,26214470
AFL,Aflac,Insurance - Life,40410702295
AFMD,Affimed,Biotechnology,161286129
AFRI,Forafric Global,Farm Products,277392312
AFRM,Affirm Holdings,Software - Infrastructure,3830577297
AFTR,AfterNext HealthTech Acquisition,Shell Companies,321249990
AFYA,Afya Limited,Education & Training Services,1114364140
AG,First Majestic Silver,Silver,1701850400
AGAC,African Gold Acquisition,Shell Companies,162473012
AGAE,Allied Gaming & Entertainment,Entertainment,39867210
AGBA,AGBA Acquisition,Shell Companies,98047402
AGCO,AGCO Corporation,Farm & Heavy Construction Machinery,8559223986
AGE,AgeX Therapeutics,Biotechnology,21298270
AGEN,Agenus,Biotechnology,488426400
AGFY,Agrify,Engineering & Construction,4320350
AGI,Alamos Gold,Gold,5018873960
AGIL,AgileThought,Software - Application,41527224
AGIO,Agios Pharmaceuticals,Biotechnology,1450658880
AGL,agilon health,Medical Care Facilities,9064100875
AGLE,Aeglea BioTherapeutics,Biotechnology,9547699
AGM,Federal Agricultural Mortgage,Credit Services,1484373270
AGM.A,Federal Agricultural Mortgage,Credit Services,1519124400
AGMH,AGM Group Holdings,Software - Application,41718256
AGNC,AGNC Investment,REIT - Mortgage,5486507520
AGO,Assured Guaranty,Insurance - Specialty,3093032145
AGR,Avangrid,Utilities - Regulated Electric,14905010242
AGRI,AgriFORCE Growing Systems,Farm Products,9639902
AGRO,Adecoagro,Farm Products,949411260
AGRX,Agile Therapeutics,Drug Manufacturers - Specialty & Generic,3926231
AGS,PlayAGS,Gambling,230534752
AGTI,Agiliti,Health Information Services,2238759000
AGX,Argan,Engineering & Construction,558418683
AGYS,Agilysys,Software - Application,1739141314
AHCO,AdaptHealth,Medical Devices,1496494080
AHG,Akso Health Group,Credit Services,7624384
AHH,Armada Hoffler Properties,REIT - Diversified,1008003587
AHI,Advanced Human Imaging,Software - Application,8822426
AHRN,Ahren Acquisition,Shell Companies,394122898
AHT,Ashford Hospitality Trust,REIT - Hotel & Motel,153533728
AI,C3.ai,Information Technology Services,2836668851
AIB,AIB Acquisition,Shell Companies,38425921
AIG,American International Group,Insurance - Diversified,38974100342
AIH,Aesthetic Medical International Holdings Group,Medical Care Facilities,39165955
AIHS,Senmiao Technology,Credit Services,6770645
AIM,AIM ImmunoTech,Biotechnology,22949901
AIMAU,Aimfinity Investment I,Shell Companies,82449686
AIMD,Ainos,Biotechnology,14008120
AIN,Albany International,Textile Manufacturing,2805504000
AINC,Ashford,Asset Management,31170555
AIP,Arteris,Semiconductors,184271448
AIR,AAR Corp.,Aerospace & Defense,1848831236
AIRC,Apartment Income REIT,REIT - Residential,5247364000
AIRG,Airgain,Communication Equipment,57864588
AIRI,Air Industries Group,Aerospace & Defense,11432749
AIRS,AirSculpt Technologies,Medical Care Facilities,443490850
AIRT,Air T,Integrated Freight & Logistics,76976718
AIT,Applied Industrial Technologies,Industrial Distribution,4992950097
AIU,Meta Data,Education & Training Services,20110964616
AIV,Apartment Investment and Management Company,REIT - Residential,1276611440
AIXI,Xiao-I,Software - Application,129376213
AIZ,Assurant,Insurance - Specialty,6855493368
AJG,Arthur J. Gallagher & Co.,Insurance Brokers,46292133220
AJRD,Aerojet Rocketdyne Holdings,Aerospace & Defense,4463544182
AJX,Great Ajax,REIT - Mortgage,129045195
AKA,a.k.a. Brands Holding,Internet Retail,47190802
AKAM,Akamai Technologies,Software - Infrastructure,13282668540
AKAN,Akanda,Drug Manufacturers - Specialty & Generic,3829626
AKBA,Akebia Therapeutics,Biotechnology,215676480
AKLI,Akili,Health Information Services,101603445
AKO.A,Embotelladora Andina,Beverages - Non-Alcoholic,2241102361
AKO.B,Embotelladora Andina,Beverages - Non-Alcoholic,2446888620
AKR,Acadia Realty Trust,REIT - Retail,1324699011
AKRO,Akero Therapeutics,Biotechnology,2283967200
AKTS,Akoustis Technologies,Communication Equipment,212054992
